"CODIGO","ESTACION","lat","lon","Altitud","Acum_prec","Clus_Db","c_distr","c_rmse","c_aic","c_kstest","c_best","trues"
"CO2530","Azurduy",-20.100555,-64.41,2530,675.12,-1,"Gamma",0.041676771369712,4128.90054217636,0.05469741853576,"YES",1
"P0570","Florida",-18.565555,-63.379166,570,1033.6,-1,"Gamma",0.027634115424921,4527.79820114543,0.05367879609356,"YES",1
"P1247","Mision La Paz Argentina",-22.37722,-62.523055,247,670.66,-1,"Gamma",0.042358256647411,4190.49535082929,0.056268446781037,"YES",1
"P1980","Urriolagoytia",-19.169722,-64.264166,1980,577.06,-1,"Gamma",0.040431184993482,4079.79418904418,0.058833316122222,"YES",1
"P2220","Nuevo Mundo",-18.996111,-64.292777,2220,1006.29,-1,"Gamma",0.042961637805658,4546.16870814151,0.061373758136348,"YES",1
"P2300","Poroma_ch",-18.534166,-65.425833,2300,750.15,-1,"Gamma",0.041792642980851,4159.64601471882,0.067647374637603,"YES",1
"P3501","Salla",-17.190277,-67.620833,3500,415.11,-1,"Gamma",0.026447808163679,3773.93281780898,0.05367879609356,"YES",1
"P3965","Conchamarca",-17.376944,-67.455277,3965,474.49,-1,"Gamma",0.027892852932914,3838.97900378814,0.05237456523885,"YES",1
"S3702","Oruro Aeropuerto",-17.952777,-67.079722,3702,429.99,-1,"Gamma",0.025104281389139,3784.39769070634,0.0507973183497,"YES",1
"TP2080","El Villar",-19.631111,-64.306944,2080,515.12,-1,"Gamma",0.045866944456588,3781.28905277253,0.092405667302892,"YES",1
"TP3284","Tarabuco",-19.180555,-64.913333,3284,479.86,-1,"Gamma",0.04834647115526,3733.37644502476,0.095060686144962,"YES",1
"CO0350","San Juan de Yapacaní",-17.25,-63.833333,350,1898.51,0,"Gamma",0.019245500706759,4913.57688627498,0.038095238095238,"YES",1
"CO2520","Yotala",-19.161666,-65.266388,2520,529.34,2,"Gamma",0.046970132021753,3835.09207353445,0.080989753651624,"YES",1
"CP2840","Sucre SENAMHI",-19.05,-65.216666,2840,636.12,2,"Gamma",0.048232160267173,4119.42666334764,0.05367879609356,"YES",1
"P2200","Puente Sucre",-19.353333,-65.177222,2200,564.73,2,"Gamma",0.047603054300088,3820.67676037604,0.103061736657186,"YES",1
"S2904","Sucre Aeropuerto",-19.009722,-65.293888,2904,632.08,2,"Gamma",0.048624007458919,4126.84167620824,0.056268446781037,"YES",1
"TP1775","Chuqui Chuqui",-18.831111,-65.1225,1775,599.4,2,"Gamma",0.04865604510146,3892.53850128152,0.1077664722442,"YES",1
"TP2460","Redencion Pampa",-18.825,-64.616111,2460,517.33,2,"Gamma",0.047481134303887,3801.57469815467,0.095941520894959,"YES",1
"TP2859","Talula_Tako Tako",-19.11,-65.405277,2859,568.76,2,"Gamma",0.042577547018473,3943.54997142969,0.065462270382205,"YES",1
"TP3200","Tinguipaya",-19.216666,-65.816666,3200,548.39,2,"Gamma",0.044289336516344,3847.7153331612,0.077297560447882,"YES",1
"CO2767","Arani",-17.573611,-65.754444,2767,349.81,4,"Gamma",0.047243571350086,3496.72032500155,0.089447223946731,"YES",1
"CP2775","Tarata",-17.608611,-66.022777,2775,509.84,4,"Gamma",0.041870201917137,3820.39947033469,0.079010158707205,"YES",1
"CP3304","Tiraque",-17.425277,-65.724444,3304,537.38,4,"Gamma",0.042789681369305,3884.53933098466,0.07455035971223,"YES",1
"S2548","Cochabamba Aeropuerto",-17.416111,-66.174444,2548,448.17,4,"Gamma",0.040129828198619,3780.94160068617,0.059910995409052,"YES",1
"TP2614","La Violeta",-17.347222,-66.231666,2614,547.02,4,"Gamma",0.040196789033837,3931.97660692843,0.058779382362081,"YES",1
"CO3845","Santiago De Huata",-16.051111,-68.810277,3845,570.7,5,"Gamma",0.026125366703521,4056.07947670629,0.057788613977553,"YES",1
"P3700","El Tejar",-16.496388,-68.158055,3700,611.52,5,"Gamma",0.034532408007082,4122.04310303605,0.060106568683001,"YES",1
"TP3851","Viacha",-16.658333,-68.281944,3850,515.35,5,"Gamma",0.032152481499121,3971.40027147146,0.057553956834532,"YES",1
"S0138","San Ramon",-13.264444,-64.605555,139,1498.9,8,"Gamma",0.048846595042789,4847.02666407418,0.061373758136348,"YES",1
"S0139","San Joaquin",-13.047222,-64.665833,139,1877.84,8,"Gamma",0.043126440227647,5037.90417757092,0.061373758136348,"YES",1
"S0156","Trinidad Aeropuerto",-14.823333,-64.916388,156,1909.6,8,"Gamma",0.037396403648875,5000.05126210176,0.059095580678315,"YES",1
"CO1614","Comarapa",-17.913611,-64.529722,1614,577.2,10,"Gamma",0.03167252096688,4084.72431647427,0.061373758136348,"YES",1
